Zeitpunkt;Skalierter Netzlast [MWh]
2035-06-29 20:37:30;22628.061439287427
2035-06-29 20:52:30;22291.900573443934
2035-06-29 21:07:30;22049.83158990189
2035-06-29 21:22:30;21841.337242775775
2035-06-29 21:37:30;21490.668817987127
2035-06-29 21:52:30;21395.747932317387
2035-06-29 22:07:30;21192.64210708519
2035-06-29 22:22:30;20942.697591544344
2035-06-29 22:37:30;20592.029166755692
2035-06-29 22:52:30;20195.351055026687
2035-06-29 23:07:30;19783.336380984234
2035-06-29 23:22:30;19545.82691596781
2035-06-29 23:37:30;19265.623777484205
2035-06-29 23:52:30;19014.02125520677
2035-06-30 00:07:30;18553.509884119077
2035-06-30 00:22:30;18284.083789423305
2035-06-30 00:37:30;18143.15321681321
2035-06-30 00:52:30;17910.617772006553
2035-06-30 01:07:30;17832.276953702705
2035-06-30 01:22:30;17591.865976897247
2035-06-30 01:37:30;17549.17230343007
2035-06-30 01:52:30;17361.817542195473
2035-06-30 02:07:30;17147.5201714913
2035-06-30 02:22:30;17094.46395592044
2035-06-30 02:37:30;17059.645814452062
2035-06-30 02:52:30;17212.182434218284
2035-06-30 03:07:30;17252.389097580577
2035-06-30 03:22:30;17317.880363675857
2035-06-30 03:37:30;17348.13898661861
2035-06-30 03:52:30;17392.07616513823
2035-06-30 04:07:30;17469.173478389635
2035-06-30 04:22:30;17478.292515440877
2035-06-30 04:37:30;17547.099795009337
2035-06-30 04:52:30;17719.117993930482
2035-06-30 05:07:30;18047.403327775173
2035-06-30 05:22:30;18192.89341891089
2035-06-30 05:37:30;18583.76850706183
2035-06-30 05:52:30;19067.07747077763
2035-06-30 06:07:30;20219.392152707234
2035-06-30 06:22:30;20958.448655541943
2035-06-30 06:37:30;21527.144966192092
2035-06-30 06:52:30;22080.090212844643
2035-06-30 07:07:30;22816.245203890317
2035-06-30 07:22:30;23219.140840881533
2035-06-30 07:37:30;23556.545211777466
2035-06-30 07:52:30;23750.53199995842
2035-06-30 08:07:30;24067.21128664699
2035-06-30 08:22:30;24370.212017758695
2035-06-30 08:37:30;24562.54079920306
2035-06-30 08:52:30;24601.91845919706
2035-06-30 09:07:30;24563.369802571357
2035-06-30 09:22:30;24669.482233713075
2035-06-30 09:37:30;24774.7656614865
2035-06-30 09:52:30;24923.571766095392
2035-06-30 10:07:30;24960.876917668655
2035-06-30 10:22:30;25025.124678711494
2035-06-30 10:37:30;25122.947076170265
2035-06-30 10:52:30;25097.662473437278
2035-06-30 11:07:30;25176.003291741123
2035-06-30 11:22:30;25336.000941821996
2035-06-30 11:37:30;25398.590696128245
2035-06-30 11:52:30;25277.141702673074
2035-06-30 12:07:30;24996.10956082118
2035-06-30 12:22:30;24892.89864146849
2035-06-30 12:37:30;24740.776523386416
2035-06-30 12:52:30;24669.06773202893
2035-06-30 13:07:30;24518.189118999297
2035-06-30 13:22:30;24313.010785346363
2035-06-30 13:37:30;24112.806471903197
2035-06-30 13:52:30;23794.054676793894
2035-06-30 14:07:30;23523.38507704568
2035-06-30 14:22:30;23464.111336212613
2035-06-30 14:37:30;23265.565029506033
2035-06-30 14:52:30;23226.187369512038
2035-06-30 15:07:30;23254.787985718205
2035-06-30 15:22:30;23082.769786797056
2035-06-30 15:37:30;22965.051308499213
2035-06-30 15:52:30;22965.88031186751
2035-06-30 16:07:30;22953.03075965894
2035-06-30 16:22:30;22836.14128472939
2035-06-30 16:37:30;22738.733388954766
2035-06-30 16:52:30;22781.012560737796
2035-06-30 17:07:30;22722.153321588874
2035-06-30 17:22:30;22718.422806431547
2035-06-30 17:37:30;22701.013735697357
2035-06-30 17:52:30;22833.23977294036
2035-06-30 18:07:30;22851.89234872699
2035-06-30 18:22:30;22645.885011705763
2035-06-30 18:37:30;22596.144809608082
2035-06-30 18:52:30;22559.668661403117
2035-06-30 19:07:30;22483.814853204152
2035-06-30 19:22:30;22206.92772819373
2035-06-30 19:37:30;22167.96456988388
2035-06-30 19:52:30;21893.149953294193
2035-06-30 20:07:30;21701.65017521812
2035-06-30 20:22:30;21383.312881792965
2035-06-30 20:37:30;21144.559911724096
2035-06-30 20:52:30;20817.1035812477
2035-06-30 21:07:30;20521.978382134792
2035-06-30 21:22:30;20315.55654342942
2035-06-30 21:37:30;20149.341368086334
2035-06-30 21:52:30;20086.33711209594
2035-06-30 22:07:30;19772.144835512256
2035-06-30 22:22:30;19549.142929440986
2035-06-30 22:37:30;19225.002612437765
2035-06-30 22:52:30;19033.502834361694
2035-06-30 23:07:30;18534.442806648298
2035-06-30 23:22:30;18290.301314685516
2035-06-30 23:37:30;17979.42505157501
2035-06-30 23:52:30;17674.35181204257
2035-07-01 00:07:30;17377.983107877222
2035-07-01 00:22:30;17071.666363292337
2035-07-01 00:37:30;16756.645083340358
2035-07-01 00:52:30;16536.544689058122
2035-07-01 01:07:30;16372.816523819922
2035-07-01 01:22:30;16207.430351845132
2035-07-01 01:37:30;15985.671950826307
2035-07-01 01:52:30;15842.668869795474
2035-07-01 02:07:30;15670.650670874327
2035-07-01 02:22:30;15651.583593403551
2035-07-01 02:37:30;15590.651845833892
2035-07-01 02:52:30;15440.187734488407
2035-07-01 03:07:30;15458.840310275038
2035-07-01 03:22:30;15380.913993655338
2035-07-01 03:37:30;15299.257161878311
2035-07-01 03:52:30;15234.594899151327
2035-07-01 04:07:30;15374.28196670898
2035-07-01 04:22:30;15271.48554904044
2035-07-01 04:37:30;15407.856603124914
2035-07-01 04:52:30;15431.89770080546
2035-07-01 05:07:30;15504.020993847098
2035-07-01 05:22:30;15552.517690892337
2035-07-01 05:37:30;15684.743728135338
2035-07-01 05:52:30;15839.352856322295
2035-07-01 06:07:30;16177.586230586525
2035-07-01 06:22:30;16364.526490136976
2035-07-01 06:37:30;16546.07822779351
2035-07-01 06:52:30;16773.22515070625
2035-07-01 07:07:30;17119.33405696928
2035-07-01 07:22:30;17328.65740746369
2035-07-01 07:37:30;17599.3270072119
2035-07-01 07:52:30;17802.847334128244
2035-07-01 08:07:30;18291.959321422106
2035-07-01 08:22:30;18531.955796543414
2035-07-01 08:37:30;18822.106975446553
2035-07-01 08:52:30;19137.957258766826
2035-07-01 09:07:30;19392.046791149143
2035-07-01 09:22:30;19629.97075784972
2035-07-01 09:37:30;19970.69114221883
2035-07-01 09:52:30;20177.112980924205
2035-07-01 10:07:30;20445.295570567534
2035-07-01 10:22:30;20618.142772856976
2035-07-01 10:37:30;20775.653412832966
2035-07-01 10:52:30;21018.551399743305
2035-07-01 11:07:30;21132.95386456797
2035-07-01 11:22:30;21355.126767270947
2035-07-01 11:37:30;21381.654875056374
2035-07-01 11:52:30;21219.584716554768
2035-07-01 12:07:30;21264.765400126827
2035-07-01 12:22:30;21136.6843797253
2035-07-01 12:37:30;21096.892218047153
2035-07-01 12:52:30;20853.99423113681
2035-07-01 13:07:30;20820.834096405026
2035-07-01 13:22:30;20585.811641493485
2035-07-01 13:37:30;20400.114886995474
2035-07-01 13:52:30;20184.159509554713
2035-07-01 14:07:30;20031.62288978849
2035-07-01 14:22:30;19894.837334019867
2035-07-01 14:37:30;19839.708610028272
2035-07-01 14:52:30;19729.036660360933
2035-07-01 15:07:30;19751.005249620743
2035-07-01 15:22:30;19633.701273007046
2035-07-01 15:37:30;19530.07585197021
2035-07-01 15:52:30;19475.77613134691
2035-07-01 16:07:30;19378.78273725643
2035-07-01 16:22:30;19355.15614126003
2035-07-01 16:37:30;19489.45468692377
2035-07-01 16:52:30;19431.424451143143
2035-07-01 17:07:30;19606.344161853318
2035-07-01 17:22:30;19583.132067541068
2035-07-01 17:37:30;19603.442650064288
2035-07-01 17:52:30;19581.888562488628
2035-07-01 18:07:30;19647.794330268054
2035-07-01 18:22:30;19769.243323723225
2035-07-01 18:37:30;19858.77568749905
2035-07-01 18:52:30;19795.356929824506
2035-07-01 19:07:30;19843.02462350145
2035-07-01 19:22:30;19570.2825153325
2035-07-01 19:37:30;19376.710228835695
2035-07-01 19:52:30;19314.94947789774
2035-07-01 20:07:30;19208.422545071873
2035-07-01 20:22:30;18940.65445711269
2035-07-01 20:37:30;18754.12869924639
2035-07-01 20:52:30;18542.732840331246
2035-07-01 21:07:30;18378.5901734089
2035-07-01 21:22:30;18178.800361649883
2035-07-01 21:37:30;18088.024492821613
2035-07-01 21:52:30;18009.683674517768
2035-07-01 22:07:30;17953.31144547373
2035-07-01 22:22:30;17763.884175818395
2035-07-01 22:37:30;17606.788037526552
2035-07-01 22:52:30;17502.74811480557
2035-07-01 23:07:30;17124.30807717905
2035-07-01 23:22:30;16830.840884802732
2035-07-01 23:37:30;16580.48186757774
2035-07-01 23:52:30;16298.2062206734
2035-07-02 00:07:30;16286.600173517276
2035-07-02 00:22:30;15981.94143566898
2035-07-02 00:37:30;15754.794512756238
2035-07-02 00:52:30;15609.304421620522
