Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2030-01-02 01:15:00;2030-01-02 01:30:00;2030-01-02 01:22:30;10570,436874736088
2030-01-02 01:30:00;2030-01-02 01:45:00;2030-01-02 01:37:30;10568,639690795922
2030-01-02 01:45:00;2030-01-02 02:00:00;2030-01-02 01:52:30;10621,057555717398
2030-01-02 02:00:00;2030-01-02 02:15:00;2030-01-02 02:07:30;10597,095103181866
2030-01-02 02:15:00;2030-01-02 02:30:00;2030-01-02 02:22:30;10500,945762383048
2030-01-02 02:30:00;2030-01-02 02:45:00;2030-01-02 02:37:30;10545,575830230475
2030-01-02 02:45:00;2030-01-02 03:00:00;2030-01-02 02:52:30;10631,241598044999
2030-01-02 03:00:00;2030-01-02 03:15:00;2030-01-02 03:07:30;10722,298917680015
2030-01-02 03:15:00;2030-01-02 03:30:00;2030-01-02 03:22:30;10742,367471678523
2030-01-02 03:30:00;2030-01-02 03:45:00;2030-01-02 03:37:30;10810,061400091397
2030-01-02 03:45:00;2030-01-02 04:00:00;2030-01-02 03:52:30;10927,776948172193
2030-01-02 04:00:00;2030-01-02 04:15:00;2030-01-02 04:07:30;11067,35823419166
2030-01-02 04:15:00;2030-01-02 04:30:00;2030-01-02 04:22:30;11223,114175672612
2030-01-02 04:30:00;2030-01-02 04:45:00;2030-01-02 04:37:30;11401,334916405624
2030-01-02 04:45:00;2030-01-02 05:00:00;2030-01-02 04:52:30;11592,435475376482
2030-01-02 05:00:00;2030-01-02 05:15:00;2030-01-02 05:07:30;11831,460939418404
2030-01-02 05:15:00;2030-01-02 05:30:00;2030-01-02 05:22:30;12043,528644357853
2030-01-02 05:30:00;2030-01-02 05:45:00;2030-01-02 05:37:30;12335,87056529133
2030-01-02 05:45:00;2030-01-02 06:00:00;2030-01-02 05:52:30;12791,157163466418
2030-01-02 06:00:00;2030-01-02 06:15:00;2030-01-02 06:07:30;13480,077673862934
2030-01-02 06:15:00;2030-01-02 06:30:00;2030-01-02 06:22:30;13912,89947278596
2030-01-02 06:30:00;2030-01-02 06:45:00;2030-01-02 06:37:30;14346,320333022377
2030-01-02 06:45:00;2030-01-02 07:00:00;2030-01-02 06:52:30;14655,73550138742
2030-01-02 07:00:00;2030-01-02 07:15:00;2030-01-02 07:07:30;15101,437118548296
2030-01-02 07:15:00;2030-01-02 07:30:00;2030-01-02 07:22:30;15471,956540878942
2030-01-02 07:30:00;2030-01-02 07:45:00;2030-01-02 07:37:30;15888,603684340487
2030-01-02 07:45:00;2030-01-02 08:00:00;2030-01-02 07:52:30;16220,483651957591
2030-01-02 08:00:00;2030-01-02 08:15:00;2030-01-02 08:07:30;16640,126101986076
2030-01-02 08:15:00;2030-01-02 08:30:00;2030-01-02 08:22:30;16782,702694572487
2030-01-02 08:30:00;2030-01-02 08:45:00;2030-01-02 08:37:30;16956,73000611178
2030-01-02 08:45:00;2030-01-02 09:00:00;2030-01-02 08:52:30;16992,074623601686
2030-01-02 09:00:00;2030-01-02 09:15:00;2030-01-02 09:07:30;17125,665296487274
2030-01-02 09:15:00;2030-01-02 09:30:00;2030-01-02 09:22:30;17075,344146162657
2030-01-02 09:30:00;2030-01-02 09:45:00;2030-01-02 09:37:30;17227,805250419973
2030-01-02 09:45:00;2030-01-02 10:00:00;2030-01-02 09:52:30;17397,04007145216
2030-01-02 10:00:00;2030-01-02 10:15:00;2030-01-02 10:07:30;17545,60727717245
2030-01-02 10:15:00;2030-01-02 10:30:00;2030-01-02 10:22:30;17676,801704804482
2030-01-02 10:30:00;2030-01-02 10:45:00;2030-01-02 10:37:30;17822,07407330114
2030-01-02 10:45:00;2030-01-02 11:00:00;2030-01-02 10:52:30;17933,49947759136
2030-01-02 11:00:00;2030-01-02 11:15:00;2030-01-02 11:07:30;17911,33420899599
