Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2028-01-02 07:45:00;2028-01-02 08:00:00;2028-01-02 07:52:30;18175,76588208375
2028-01-02 08:00:00;2028-01-02 08:15:00;2028-01-02 08:07:30;18645,99371804481
2028-01-02 08:15:00;2028-01-02 08:30:00;2028-01-02 08:22:30;18805,75706559475
2028-01-02 08:30:00;2028-01-02 08:45:00;2028-01-02 08:37:30;19000,762328045414
2028-01-02 08:45:00;2028-01-02 09:00:00;2028-01-02 08:52:30;19040,367527648126
2028-01-02 09:00:00;2028-01-02 09:15:00;2028-01-02 09:07:30;19190,061756655003
2028-01-02 09:15:00;2028-01-02 09:30:00;2028-01-02 09:22:30;19133,67469281385
2028-01-02 09:30:00;2028-01-02 09:45:00;2028-01-02 09:37:30;19304,514070761157
2028-01-02 09:45:00;2028-01-02 10:00:00;2028-01-02 09:52:30;19494,14913665552
2028-01-02 10:00:00;2028-01-02 10:15:00;2028-01-02 10:07:30;19660,625229900834
2028-01-02 10:15:00;2028-01-02 10:30:00;2028-01-02 10:22:30;19807,63436062956
2028-01-02 10:30:00;2028-01-02 10:45:00;2028-01-02 10:37:30;19970,41844374242
2028-01-02 10:45:00;2028-01-02 11:00:00;2028-01-02 10:52:30;20095,275513676403
2028-01-02 11:00:00;2028-01-02 11:15:00;2028-01-02 11:07:30;20070,438354603513
2028-01-02 11:15:00;2028-01-02 11:30:00;2028-01-02 11:22:30;20322,501955464868
2028-01-02 11:30:00;2028-01-02 11:45:00;2028-01-02 11:37:30;20422,521866325966
2028-01-02 11:45:00;2028-01-02 12:00:00;2028-01-02 11:52:30;20616,18457963755
2028-01-02 12:00:00;2028-01-02 12:15:00;2028-01-02 12:07:30;20717,88267692249
2028-01-02 12:15:00;2028-01-02 12:30:00;2028-01-02 12:22:30;20649,41267082966
2028-01-02 12:30:00;2028-01-02 12:45:00;2028-01-02 12:37:30;20702,443361823127
2028-01-02 12:45:00;2028-01-02 13:00:00;2028-01-02 12:52:30;20593,361244273274
