Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2045-01-02 10:15:00;2045-01-02 10:30:00;2045-01-02 10:22:30;47636,16973307077
2045-01-02 10:30:00;2045-01-02 10:45:00;2045-01-02 10:37:30;48027,655665808874
2045-01-02 10:45:00;2045-01-02 11:00:00;2045-01-02 10:52:30;48327,929412156445
2045-01-02 11:00:00;2045-01-02 11:15:00;2045-01-02 11:07:30;48268,197537883
2045-01-02 11:15:00;2045-01-02 11:30:00;2045-01-02 11:22:30;48874,39534300943
2045-01-02 11:30:00;2045-01-02 11:45:00;2045-01-02 11:37:30;49114,93721508357
2045-01-02 11:45:00;2045-01-02 12:00:00;2045-01-02 11:52:30;49580,68439691839
2045-01-02 12:00:00;2045-01-02 12:15:00;2045-01-02 12:07:30;49825,26220644343
2045-01-02 12:15:00;2045-01-02 12:30:00;2045-01-02 12:22:30;49660,59595844637
2045-01-02 12:30:00;2045-01-02 12:45:00;2045-01-02 12:37:30;49788,131581895075
2045-01-02 12:45:00;2045-01-02 13:00:00;2045-01-02 12:52:30;49525,795647586034
2045-01-02 13:00:00;2045-01-02 13:15:00;2045-01-02 13:07:30;49199,691901552644
2045-01-02 13:15:00;2045-01-02 13:30:00;2045-01-02 13:22:30;48863,09471814689
2045-01-02 13:30:00;2045-01-02 13:45:00;2045-01-02 13:37:30;48761,389094384
2045-01-02 13:45:00;2045-01-02 14:00:00;2045-01-02 13:52:30;48347,30191192081
2045-01-02 14:00:00;2045-01-02 14:15:00;2045-01-02 14:07:30;47892,85535494854
2045-01-02 14:15:00;2045-01-02 14:30:00;2045-01-02 14:22:30;47713,6597321282
2045-01-02 14:30:00;2045-01-02 14:45:00;2045-01-02 14:37:30;47812,94379342055
2045-01-02 14:45:00;2045-01-02 15:00:00;2045-01-02 14:52:30;47684,600982481665
2045-01-02 15:00:00;2045-01-02 15:15:00;2045-01-02 15:07:30;48020,390978397234
2045-01-02 15:15:00;2045-01-02 15:30:00;2045-01-02 15:22:30;47644,24160797258
2045-01-02 15:30:00;2045-01-02 15:45:00;2045-01-02 15:37:30;47412,578798290444
2045-01-02 15:45:00;2045-01-02 16:00:00;2045-01-02 15:52:30;47464,238797662074
2045-01-02 16:00:00;2045-01-02 16:15:00;2045-01-02 16:07:30;47769,35566895074
2045-01-02 16:15:00;2045-01-02 16:30:00;2045-01-02 16:22:30;48166,49191412012
2045-01-02 16:30:00;2045-01-02 16:45:00;2045-01-02 16:37:30;48431,2494108997
2045-01-02 16:45:00;2045-01-02 17:00:00;2045-01-02 16:52:30;48988,208779125045
2045-01-02 17:00:00;2045-01-02 17:15:00;2045-01-02 17:07:30;49436,197836175874
2045-01-02 17:15:00;2045-01-02 17:30:00;2045-01-02 17:22:30;49345,79283727553
2045-01-02 17:30:00;2045-01-02 17:45:00;2045-01-02 17:37:30;49259,423775826086
2045-01-02 17:45:00;2045-01-02 18:00:00;2045-01-02 17:52:30;49215,835651356276
2045-01-02 18:00:00;2045-01-02 18:15:00;2045-01-02 18:07:30;49298,1687753548
2045-01-02 18:15:00;2045-01-02 18:30:00;2045-01-02 18:22:30;49027,76096614395
2045-01-02 18:30:00;2045-01-02 18:45:00;2045-01-02 18:37:30;48770,268156776
2045-01-02 18:45:00;2045-01-02 19:00:00;2045-01-02 18:52:30;48728,29440728655
2045-01-02 19:00:00;2045-01-02 19:15:00;2045-01-02 19:07:30;48554,749096897496
2045-01-02 19:15:00;2045-01-02 19:30:00;2045-01-02 19:22:30;48434,47816086043
2045-01-02 19:30:00;2045-01-02 19:45:00;2045-01-02 19:37:30;47938,05785439871
2045-01-02 19:45:00;2045-01-02 20:00:00;2045-01-02 19:52:30;47454,55254777989
2045-01-02 20:00:00;2045-01-02 20:15:00;2045-01-02 20:07:30;46563,41755861934
2045-01-02 20:15:00;2045-01-02 20:30:00;2045-01-02 20:22:30;45536,675071108264
2045-01-02 20:30:00;2045-01-02 20:45:00;2045-01-02 20:37:30;44668,14133167279
2045-01-02 20:45:00;2045-01-02 21:00:00;2045-01-02 20:52:30;44044,99258925255
2045-01-02 21:00:00;2045-01-02 21:15:00;2045-01-02 21:07:30;43768,12728012024
2045-01-02 21:15:00;2045-01-02 21:30:00;2045-01-02 21:22:30;43207,13197444399
2045-01-02 21:30:00;2045-01-02 21:45:00;2045-01-02 21:37:30;42633,22166892482
2045-01-02 21:45:00;2045-01-02 22:00:00;2045-01-02 21:52:30;42013,30167646531
2045-01-02 22:00:00;2045-01-02 22:15:00;2045-01-02 22:07:30;41469,257308082866
2045-01-02 22:15:00;2045-01-02 22:30:00;2045-01-02 22:22:30;40913,105127347706
2045-01-02 22:30:00;2045-01-02 22:45:00;2045-01-02 22:37:30;40201,165761007476
2045-01-02 22:45:00;2045-01-02 23:00:00;2045-01-02 22:52:30;39465,81795745198
2045-01-02 23:00:00;2045-01-02 23:15:00;2045-01-02 23:07:30;38834,59734012993
2045-01-02 23:15:00;2045-01-02 23:30:00;2045-01-02 23:22:30;38347,0560960602
2045-01-02 23:30:00;2045-01-02 23:45:00;2045-01-02 23:37:30;37727,943291090865
2045-01-02 23:45:00;2045-01-03 00:00:00;2045-01-02 23:52:30;37175,82704780661
2045-01-03 00:00:00;2045-01-03 00:15:00;2045-01-03 00:07:30;36492,94643111293
2045-01-03 00:15:00;2045-01-03 00:30:00;2045-01-03 00:22:30;35877,8695635945
2045-01-03 00:30:00;2045-01-03 00:45:00;2045-01-03 00:37:30;35440,37394391604
2045-01-03 00:45:00;2045-01-03 01:00:00;2045-01-03 00:52:30;35023,05801149212
2045-01-03 01:00:00;2045-01-03 01:15:00;2045-01-03 01:07:30;34583,948016833296
2045-01-03 01:15:00;2045-01-03 01:30:00;2045-01-03 01:22:30;34180,354271742464
2045-01-03 01:30:00;2045-01-03 01:45:00;2045-01-03 01:37:30;34074,612710528665
2045-01-03 01:45:00;2045-01-03 02:00:00;2045-01-03 01:52:30;34006,80896135341
2045-01-03 02:00:00;2045-01-03 02:15:00;2045-01-03 02:07:30;33795,32583892581
2045-01-03 02:15:00;2045-01-03 02:30:00;2045-01-03 02:22:30;33637,92427834039
2045-01-03 02:30:00;2045-01-03 02:45:00;2045-01-03 02:37:30;33824,38458857235
2045-01-03 02:45:00;2045-01-03 03:00:00;2045-01-03 02:52:30;33757,388026887274
2045-01-03 03:00:00;2045-01-03 03:15:00;2045-01-03 03:07:30;33723,48615229964
2045-01-03 03:15:00;2045-01-03 03:30:00;2045-01-03 03:22:30;33604,82959124294
2045-01-03 03:30:00;2045-01-03 03:45:00;2045-01-03 03:37:30;33808,24083876872
2045-01-03 03:45:00;2045-01-03 04:00:00;2045-01-03 03:52:30;33985,822086608685
2045-01-03 04:00:00;2045-01-03 04:15:00;2045-01-03 04:07:30;34492,73583044277
